"Player","Team","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","STLp","BLKp","TOp","HomeAway","ASD"
"Aaron Brooks","Bulls",0.168051708217913,0.43956043956044,0.400862068965517,0,0,0.8375,0,0.625,0,0.400485436893204,0.523076923076923,0.5,0.446153846153846,1,0,0,0.83969465648855,0.0889328063241107,0.155467720685112,0.0322793148880105,0.00856389986824769,0.0764163372859025,1,6.069
"Aaron Gordon","Magic",0.164757013038325,0.377682403433476,0.329787234042553,0.795454545454545,1,0.727891156462585,1,0.142857142857143,0.25,0.334020618556701,0.681034482758621,0.4296875,0.716981132075472,0.333333333333333,0.571428571428571,0.523809523809524,0.708791208791209,0.2305483778352,0.0686190066035027,0.0275624461670973,0.0264140109101349,0.0422049956933678,1,4.506
"Adreian Payne","Timberwolves",0.0849056603773585,0.419354838709677,0.37037037037037,1,1,0.625,1,1,0,0.382352941176471,0.416666666666667,0.5,0.333333333333333,0.5,1,1,0.64,0.213864306784661,0.0427728613569322,0.0294985250737463,0.0265486725663717,0.0722713864306785,1,3.644
"Al Horford","Celtics",0.164538310412574,0.424581005586592,0.392996108949416,0.935483870967742,0.923076923076923,0.664556962025316,1,0.416666666666667,0.523809523809524,0.418316831683168,0.775510204081633,0.3,0.931034482758621,0.466666666666667,0.6,0.477477477477477,0.771428571428571,0.226532732940769,0.15829580879806,0.0270176653966055,0.0349844128853481,0.056806373397991,1,4.391
"Al Horford","Hawks",0.190312738367658,0.470817120622568,0.351190476190476,0.916666666666667,0,0.656716417910448,1,0.375,0.514705882352941,0.460659898477157,0.812903225806452,0.833333333333333,0.824561403508772,0.133333333333333,0.428571428571429,0.461538461538462,0.778325123152709,0.237586605080831,0.106235565819861,0.0265588914549654,0.0490762124711316,0.0450346420323326,1,4.391
"Al Jefferson","Hornets",0.225723708318065,0.410788381742739,0.3,1,1,0.857142857142857,0.972222222222222,0.25,0.4125,0.463446475195822,0.70935960591133,0,0.6,0.666666666666667,0.705882352941177,0.517441860465116,0.639751552795031,0.28,0.0684848484848485,0.0212121212121212,0.0557575757575758,0.0315151515151515,1,3.342
"Al Jefferson","Pacers",0.220338983050847,0.428571428571429,0,0,1,0.466666666666667,1,0,0.538461538461538,0.437869822485207,0.826666666666667,0.625,1,1,0,0.636363636363636,0.8,0.279369627507163,0.0573065902578797,0.0214899713467049,0.0343839541547278,0.0358166189111748,1,3.342
"Al-Farouq Aminu","Mavericks",0.126888217522659,0,0,0.75,0,0.666666666666667,1,0,0,0.263157894736842,0.826086956521739,0.333333333333333,0.857142857142857,0,0.5,1,0.696969696969697,0.254901960784314,0.0448179271708683,0.0434173669467787,0.0490196078431373,0.0434173669467787,1,0
"Al-Farouq Aminu","Pelicans",0.177200902934537,0,0,1,0,1,0.944444444444444,0,0,0.396825396825397,0.721649484536082,1,0.5,1,0.2,0,0.702702702702703,0.266193433895297,0.0567879325643301,0.0328305235137533,0.0212954747116238,0.0425909494232476,1,0
"Al-Farouq Aminu","Trail Blazers",0.173055452177149,0,0,0.4,1,0.6,1,0.333333333333333,0.75,0.378289473684211,0.641791044776119,0.482142857142857,0.775510204081633,0.375,0.5,0,0.710280373831776,0.241200230813618,0.0545297172533179,0.032602423542989,0.0236583958453549,0.0452971725331795,1,0
"Alan Anderson","Nets",0.121852970795569,0.428571428571429,0.320261437908497,0,0,0.645833333333333,0.857142857142857,0.5,0,0.389221556886228,0.717391304347826,0.428571428571429,0,0.333333333333333,0,0,0.745901639344262,0.104791995787256,0.0431806213796735,0.0273828330700369,0.00368615060558189,0.0337019483938915,1,4.725
"Alec Burks","Jazz",0.161182641869337,0.37117903930131,0.364406779661017,1,1,0.723684210526316,0.952380952380952,0.3125,0,0.368821292775665,0.632478632478632,0.535211267605634,0.657534246575342,0.444444444444444,0.5,0.666666666666667,0.800936768149883,0.145219266714594,0.0747663551401869,0.0280373831775701,0.00718907260963336,0.0621854780733285,1,4.308
"Alex Abrines","Thunder",0.0636515912897822,0.454545454545455,0.418918918918919,1,0,0.5625,1,0,0,0.415637860082305,0.5,0.55,0.526315789473684,0,0,0,0.92156862745098,0.0976863753213368,0.0291345329905741,0.0291345329905741,0.0051413881748072,0.0222793487574979,1,7.279
"Alex Len","Suns",0.143818849449204,0.342391304347826,0.285714285714286,0.692307692307692,0.982142857142857,0.584269662921348,0.921348314606742,0,0.377777777777778,0.377162629757785,0.670391061452514,0,0.864406779661017,0,0.6,0.318181818181818,0.701754385964912,0.326680994780473,0.0343874731347866,0.0178077985876574,0.0546515198035002,0.0626343260669328,1,1.178
"Alexis Ajinca","Pelicans",0.128571428571429,0.465277777777778,0,0.75,1,0.727272727272727,0.906976744186046,1,0.45,0.417061611374408,0.670731707317073,1,0.833333333333333,0,0.533333333333333,1,0.849557522123894,0.322538003965631,0.0376734963648381,0.0257766027759418,0.0575016523463318,0.0568407138136153,1,1.863
"Allen Crabbe","Nets",0.096989966555184,0.40625,0.393501805054152,1,0,0.666666666666667,0,0,0,0.409893992932862,0.625,0.295774647887324,0.916666666666667,0.4,0,0.333333333333333,0.915492957746479,0.152627189324437,0.0575479566305254,0.0191826522101751,0.0175145954962469,0.0333611342785655,1,7.46
"Allen Crabbe","Trail Blazers",0.109578544061303,0.436974789915966,0.466049382716049,0.5,1,0.672131147540984,1,0.666666666666667,0,0.442965779467681,0.684210526315789,0.525862068965517,0.764705882352941,1,0,0,0.892857142857143,0.096551724137931,0.0442831215970962,0.0268602540834846,0.0105263157894737,0.0279491833030853,1,7.46
"Alonzo Gee","Cavaliers",0.142045454545455,0.148148148148148,0.346153846153846,0,0,0.875,0.916666666666667,0,0,0.291666666666667,0.705882352941177,0,0.333333333333333,0,0.666666666666667,0,0.7,0.153024911032028,0.0427046263345196,0.0373665480427046,0.0142348754448399,0.0444839857651246,1,1.963
"Alonzo Gee","Pelicans",0.155650319829424,0.230769230769231,0.235294117647059,1,1,0.933333333333333,0.85,0,0,0.288461538461538,0.518518518518518,1,1,0,0,0,0.709677419354839,0.162818955042527,0.0413122721749696,0.0388821385176185,0.00729040097205346,0.0364520048602673,1,1.963
