"Player","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","TOVp","STLp","BLKp","ASD"
"Aaron Brooks",0.545454545454545,0.39375,0.39782345828295,0,0,0.722388059701493,0,0.607843137254902,0.481481481481481,0.379716981132075,0.53804347826087,0.504854368932039,0.471014492753623,0.458333333333333,0,0,0.823529411764706,0.0876550742322554,0.149684767134432,0.0776896481594468,0.0288793980069148,0.00833841773439089,6.12988
"Aaron Gordon",0.577319587628866,0.364754098360656,0.313103448275862,0.837209302325581,1,0.677083333333333,0.971698113207547,0.270833333333333,0.391304347826087,0.317836812144212,0.681992337164751,0.435897435897436,0.726744186046512,0.321428571428571,0.631578947368421,0.476190476190476,0.698275862068966,0.22377418885494,0.0650371017023134,0.0436490615451768,0.0296813618507202,0.0235704932343955,4.56853
"Abdel Nader",0.666666666666667,0.3125,0.359375,0,0,0.574468085106383,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.2,0.636363636363636,0.333333333333333,0,0.166666666666667,0.58974358974359,0.136015325670498,0.0498084291187739,0.0651340996168582,0.028735632183908,0.0191570881226054,4.36601
"Al Harrington",0.538461538461538,0.277777777777778,0.326530612244898,0,0,0.916666666666667,1,1,0,0.297101449275362,0.472222222222222,0,1,0,0.5,0,0.771428571428571,0.155945419103314,0.0545808966861598,0.0662768031189084,0.0272904483430799,0,5.09282
"Al Horford",0.519230769230769,0.454010301692421,0.376513317191283,0.926829268292683,0.947368421052632,0.688636363636364,0.989473684210526,0.416666666666667,0.471153846153846,0.435351882160393,0.766734279918864,0.5,0.870229007633588,0.3875,0.454545454545455,0.473145780051151,0.770491803278688,0.229154631234354,0.121220874253803,0.0498748315039476,0.024841132293472,0.0411130367802812,4.46165
"Al Jefferson",0.544,0.408386508659982,0.277777777777778,1,1,0.652173913043478,0.967741935483871,0.411764705882353,0.502673796791444,0.457065217391304,0.746051032806804,0.666666666666667,0.62962962962963,0.5,0.55,0.58659217877095,0.691394658753709,0.292233560090703,0.0602324263038549,0.0396825396825397,0.0253684807256236,0.0344387755102041,3.25095
"Alan Anderson",0.58695652173913,0.415300546448087,0.353233830845771,0,0,0.776595744680851,0.923076923076923,0.571428571428571,0,0.392757660167131,0.722222222222222,0.428571428571429,0.294117647058824,0.461538461538462,0.666666666666667,0.5,0.788,0.107098381070984,0.0470734744707347,0.0326276463262765,0.0276463262764633,0.00423412204234122,5.41968
"Alan Williams",0.580357142857143,0.35,0,0,0,0.454545454545455,0,1,0.472222222222222,0.493333333333333,0.652173913043478,1,0.872340425531915,0,0,0.35,0.62962962962963,0.417556346381969,0.0427046263345196,0.0593119810201661,0.0427046263345196,0.0450771055753262,0.89273
"Alec Burks",0.637795275590551,0.394117647058824,0.363057324840764,1,1,0.674418604651163,0.973684210526316,0.428571428571429,0.666666666666667,0.38135593220339,0.605932203389831,0.494505494505495,0.611510791366906,0.482758620689655,0.454545454545455,0.333333333333333,0.778698224852071,0.141352846689274,0.0810280207031947,0.0619311083348206,0.0283776548277708,0.00642512939496698,4.35751
"Alex Abrines",0.689655172413793,0.383333333333333,0.381465517241379,1,1,0.557692307692308,0.666666666666667,0,0.5,0.382352941176471,0.555555555555556,0.454545454545455,0.625,0.375,0,0,0.873684210526316,0.091324200913242,0.0310502283105023,0.0264840182648402,0.0342465753424658,0.00730593607305936,7.50087
