"Player","P2p","P3p","FTp","FTA","P2A","P3A","BLKp","TOVp","ASTp","REBp","PTSp","STLp"
"Taurean Prince",0.461389961389961,0.385120350109409,0.844444444444444,180,518,457,0.0170454545454545,0.0775162337662338,0.0868506493506493,0.157873376623377,0.469967532467532,0.0344967532467532
"Dennis Schroder",0.479638009049774,0.290076335877863,0.849056603773585,265,884,262,0.00288739172281039,0.088065447545717,0.200673724735322,0.10009624639076,0.626082771896054,0.0346487006737247
"Kent Bazemore",0.437810945273632,0.394160583941606,0.796019900497512,201,402,274,0.0251537171604248,0.0877585243152599,0.127445500279486,0.138624930128563,0.467300167691448,0.0558971492453885
"John Collins",0.598393574297189,0.340425531914894,0.71505376344086,186,498,47,0.0448179271708683,0.0588235294117647,0.0549019607843137,0.303081232492997,0.435294117647059,0.0263305322128852
"Dewayne Dedmon",0.595238095238095,0.354609929078014,0.779069767441861,86,336,141,0.0330739299610895,0.0557717250324254,0.0583657587548638,0.317120622568093,0.400129701686122,0.0259403372243839
"Marco Belinelli",0.449579831932773,0.37246963562753,0.926605504587156,109,238,247,0.00247933884297521,0.0446280991735537,0.0851239669421488,0.0826446280991736,0.488429752066116,0.0380165289256198
"Ersan Ilyasova",0.532467532467532,0.358823529411765,0.8,90,231,170,0.014468085106383,0.0365957446808511,0.0434042553191489,0.213617021276596,0.426382978723404,0.0374468085106383
"Isaiah Taylor",0.461290322580645,0.25,0.702127659574468,141,310,80,0.00856898029134533,0.0719794344473008,0.176520994001714,0.0805484147386461,0.381319622964867,0.0291345329905741
"Mike Muscala",0.558620689655172,0.37125748502994,0.919354838709677,62,145,167,0.0254716981132075,0.039622641509434,0.0481132075471698,0.216981132075472,0.382075471698113,0.0292452830188679
"Malcolm Delaney",0.391304347826087,0.370967741935484,0.804347826086957,92,161,124,0.00591715976331361,0.0650887573964497,0.160749506903353,0.0986193293885602,0.333333333333333,0.0345167652859961
"Tyler Dorsey",0.39344262295082,0.361809045226131,0.714285714285714,63,183,199,0.00513347022587269,0.0379876796714579,0.0811088295687885,0.13347022587269,0.415811088295688,0.0174537987679671
"Miles Plumlee",0.583333333333333,0,0.45,60,180,0,0.0326797385620915,0.0686274509803922,0.0490196078431373,0.248366013071895,0.258169934640523,0.0185185185185185
